Designator,Mid X,Mid Y,Rotation,Layer
C1,156.75,-78.0,0,top
C10,139.25,-80.75,180.0,top
C11,145.25,-81.25,0.0,top
C12,139.5,-72.75,90.0,top
C13,139.5,-75.0,90.0,top
C2,161.75,-84.0,90,top
C3,145.25,-67.25,0.0,top
C4,141.5,-71.75,90.0,top
C5,150.5,-81.25,180.0,top
C6,154.0,-72.5,270.0,top
C7,145.25,-69.0,0.0,top
C8,141.5,-76.0,90.0,top
C9,139.25,-79.25,180.0,top
D1,164.0,-84.75,270.0,top
FB1,141.5,-80.0,270.0,top
J1,166.25,-75.0,90.0,top
J2,143.19,-61.75,270.0,top
J3,156.94,-61.75,270.0,top
J4,146.19,-88.25,90.0,top
R1,166.0,-82.25,0.0,top
R2,135.5,-70.25,90.0,top
R3,156.25,-74.44,270.0,top
R4,146.75,-84.0,180.0,top
R5,149.25,-84.0,0.0,top
SW1,132.0,-70.0,270.0,top
U1,156.5,-84.0,90.0,top
U2,147.75,-75.0,270.0,top
Y1,136.75,-73.75,270.0,top
